cell, t, row, column, v_row, v_column, region
1,0,340,852,0,0,1
1,1,342,857,2,5,1
1,2,339,853,-3,-4,1
1,3,335,845,-4,-8,1
1,4,332,838,-3,-7,1
1,5,328,840,-4,2,1
1,6,326,847,-2,7,1
1,7,335,846,9,-1,1
1,8,325,848,-10,2,1
1,9,323,850,-2,2,1
1,10,317,850,-6,0,1
1,11,316,850,-1,0,1
1,12,331,847,15,-3,1
1,13,331,847,0,0,1
1,14,326,846,-5,-1,1
1,15,326,846,0,0,1
1,16,347,840,21,-6,1
1,17,347,840,0,0,1
1,18,360,841,13,1,1
1,19,360,841,0,0,1
1,20,362,847,2,6,1
1,21,362,847,0,0,1
1,22,358,853,-4,6,1
1,23,358,853,0,0,1
1,24,358,843,0,-10,1
1,25,358,843,0,0,1
1,26,363,841,5,-2,1
1,27,363,841,0,0,1
1,28,368,848,5,7,1
1,29,368,848,0,0,1
1,30,367,842,-1,-6,1
1,31,367,842,0,0,1
1,32,367,839,0,-3,1
1,33,367,839,0,0,1
1,34,359,834,-8,-5,1
1,35,359,834,0,0,1
1,36,358,832,-1,-2,1
1,37,358,832,0,0,1
1,38,366,812,8,-20,1
1,39,364,807,-2,-5,1
1,40,375,807,11,0,1
1,41,375,807,0,0,1
1,42,371,809,-4,2,1
1,43,371,809,0,0,1
1,44,371,809,0,0,1
1,45,360,809,-11,0,1
1,46,364,808,4,-1,1
1,47,366,809,2,1,1
1,48,366,809,0,0,1
1,49,362,807,-4,-2,1
1,50,357,808,-5,1,1
1,51,364,805,7,-3,1
1,52,364,806,0,1,1
1,53,358,814,-6,8,1
1,54,353,818,-5,4,1
1,55,355,810,2,-8,1
1,56,354,810,-1,0,1
1,57,351,822,-3,12,1
1,58,352,825,1,3,1
1,59,365,821,13,-4,1
1,60,365,816,0,-5,1
1,61,365,816,0,0,1
1,62,359,818,-6,2,1
1,63,357,830,-2,12,1
1,64,357,831,0,1,1
1,65,342,825,-15,-6,1
1,66,339,824,-3,-1,1
1,67,339,824,0,0,1
1,68,322,826,-17,2,1
1,69,323,825,1,-1,1
1,70,323,826,0,1,1
1,71,303,837,-20,11,1
1,72,302,839,-1,2,1
1,73,304,836,2,-3,1
1,74,311,835,7,-1,1
1,75,311,835,0,0,1
1,76,307,831,-4,-4,1
1,77,307,831,0,0,1
1,78,335,815,28,-16,1
1,79,335,815,0,0,1
1,80,356,799,21,-16,1
1,81,366,787,10,-12,1
1,82,361,790,-5,3,1
1,83,364,785,3,-5,1
1,84,364,785,0,0,1
1,85,363,787,-1,2,1
1,86,363,788,0,1,1
1,87,366,790,3,2,1
1,88,366,790,0,0,1
1,89,371,789,5,-1,1
1,90,371,789,0,0,1
1,91,367,797,-4,8,1
1,92,367,798,0,1,1
1,93,340,801,-27,3,1
1,94,339,805,-1,4,1
1,95,339,815,0,10,1
1,96,334,812,-5,-3,1
1,97,334,812,0,0,1
1,98,328,811,-6,-1,1
1,99,327,810,-1,-1,1
1,100,318,814,-9,4,1
1,101,317,814,-1,0,1
1,102,316,814,-1,0,1
1,103,316,814,0,0,1
2,0,273,721,0,0,1
2,1,265,713,-8,-8,1
2,2,255,717,-10,4,1
2,3,254,717,-1,0,1
2,4,253,717,-1,0,1
2,5,254,712,1,-5,1
2,6,254,712,0,0,1
2,7,235,706,-19,-6,1
2,8,235,710,0,4,1
2,9,235,710,0,0,1
2,10,231,710,-4,0,1
2,11,232,710,1,0,1
2,12,232,710,0,0,1
2,13,234,715,2,5,1
2,14,239,716,5,1,1
2,15,239,716,0,0,1
2,16,239,716,0,0,1
2,17,239,716,0,0,1
2,18,227,743,-12,27,1
2,19,227,743,0,0,1
2,20,226,737,-1,-6,1
2,21,226,737,0,0,1
2,22,224,742,-2,5,1
2,23,224,742,0,0,1
2,24,225,742,1,0,1
2,25,225,742,0,0,1
2,26,225,743,0,1,1
2,27,225,743,0,0,1
2,28,247,750,22,7,1
2,29,247,750,0,0,1
2,30,273,763,26,13,1
2,31,264,763,-9,0,1
2,32,263,763,-1,0,1
2,33,259,761,-4,-2,1
2,34,258,761,-1,0,1
2,35,256,753,-2,-8,1
2,36,256,753,0,0,1
2,37,257,753,1,0,1
2,38,257,753,0,0,1
